family_combined,name,cost_unit,qtt,cost,description,creation_date,modification_date,billed_person_id,punctual_bill_sbg_id
1 - Licenses and options,Maintenance mensuelle borne wifi,3.5,1.0,3.5,,2021-10-14 16:33:41,2024-07-09 10:31:45,902169,
1 - Licenses and options,Maintenance mensuelle réseau switch,15.0,1.0,15.0,,2021-10-14 16:33:41,2024-07-09 10:31:45,902169,
1 - Licenses and options,Licence SUNBREN,15.0,6.0,90.0,,2021-07-30 10:40:33,2025-02-03 09:47:32,902169,
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2021-07-08 17:49:14,2024-07-09 10:31:45,902169,
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,1.0,0.6,,2021-09-24 10:02:05,2024-07-09 10:31:45,902169,
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2021-07-08 17:49:14,2024-07-09 10:31:45,902169,
7 - Mobile,Business Smartphone 20 Go,21.0,1.0,21.0,,2022-09-22 14:49:45,2024-03-26 11:09:49,902169,
1 - Licenses and options,Cloud Firewall,24.0,1.0,24.0,,2024-10-14 13:44:24,2024-10-14 13:44:24,748445,
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,38.0,570.0,,2022-06-14 09:33:05,2024-08-22 15:36:12,748445,
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,1.0,15.0,WATTRELOS,2024-08-22 15:36:12,2024-08-22 15:36:12,748445,
1 - Licenses and options,Microsoft 365 Business Standard (Non-Profit Pricing) - 1Y,2.8,24.0,67.2,,2024-09-26 14:36:37,2024-11-26 13:32:11,748445,
1 - Licenses and options,Service Astreinte,15.0,1.0,15.0,,2023-04-03 10:04:41,2023-04-03 10:04:41,748445,
1 - Licenses and options,Service Astreinte Technique,15.0,1.0,15.0,,2023-04-03 10:04:41,2023-04-03 10:04:41,748445,
1 - Licenses and options,Licences SUNBREN,15.0,74.0,1110.0,,2021-07-08 17:14:24,2025-04-22 09:58:51,748445,
1 - Licenses and options,Detoxio - Cybersécurité,96.25,1.0,96.25,,2022-07-02 11:16:14,2024-07-09 10:36:30,748445,
3 - Access links,Abonnement Fibre Dédiée 1 Gbps symétrique,450.0,1.0,450.0,,2024-10-14 13:44:24,2024-10-14 13:44:24,748445,
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max - Site Siège Provisoire,54.0,1.0,54.0,,2022-09-13 09:21:28,2024-07-09 10:36:30,748445,
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,41.0,24.6,,2022-06-14 09:36:12,2024-08-22 15:36:12,748445,
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,1.0,0.6,WATTRELOS,2024-08-22 15:36:12,2024-08-22 15:36:12,748445,
5 - Service Pack,Maintenance mensuelle Point accès wifi,3.5,11.0,38.5,,2023-06-15 17:02:13,2024-07-09 10:48:20,748445,
5 - Service Pack,Maintenance mensuelle réseau switch,15.0,6.0,90.0,,2023-06-15 17:02:13,2024-07-09 10:36:30,748445,
6 - Hardware,Location Routeur FTTO,15.0,1.0,15.0,,2024-10-14 13:44:24,2024-10-14 13:44:24,748445,
6 - Hardware,Routeur Internet 5G Backup Secourur,24.0,2.0,48.0,,2024-09-23 09:55:49,2024-09-23 09:55:49,748445,
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2022-09-13 09:21:28,2024-07-09 10:36:30,748445,
7 - Mobile,Business Smartphone 1 Go,11.0,12.0,132.0,,2022-09-22 14:56:18,2024-11-25 11:10:44,748445,
7 - Mobile,Business Smartphone 20 Go,21.0,14.0,294.0,,2022-09-22 14:53:10,2024-10-14 09:53:07,748445,
